geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_1974,337500,Allenton South,9,12,9,12,6
Statistical_Area_1975,337600,Rakaia,9,9,3,6,12
Statistical_Area_1976,337700,Ashburton North,6,9,6,6,6
Statistical_Area_1977,337800,Allenton East,36,54,42,42,33
Statistical_Area_1978,337900,Tinwald North,12,12,6,6,15
Statistical_Area_1979,338000,Ashburton Central,0,3,3,3,0
Statistical_Area_1980,338100,Ashburton West,39,24,30,30,36
Statistical_Area_1981,338200,Tinwald South,18,30,27,27,21
Statistical_Area_1982,338300,Ashburton East,27,33,27,33,24
Statistical_Area_1983,338400,Netherby,21,18,15,21,21
Statistical_Area_1984,338500,Hampstead,15,21,18,21,30
Statistical_Area_1985,338600,Ben McLeod,0,0,0,0,0
Statistical_Area_1986,338700,Arundel,6,3,6,3,3
Statistical_Area_1987,338800,Levels Valley,3,6,3,3,6
Statistical_Area_1988,338900,Geraldine,30,27,39,30,24
Statistical_Area_1989,339000,Rangitata,18,18,21,15,21
Statistical_Area_1990,339100,Waitohi (Timaru District),3,6,12,6,12
Statistical_Area_1991,339200,Pleasant Point,9,9,12,6,6
Statistical_Area_1992,339300,Temuka West,33,18,30,30,24
Statistical_Area_1993,339400,Hadlow,6,3,0,6,6
Statistical_Area_1994,339500,Levels,6,12,6,3,6
Statistical_Area_1995,339600,Temuka East,15,21,15,18,18
Statistical_Area_1996,339700,Gleniti North,9,9,9,6,9
Statistical_Area_1997,339800,Washdyke,12,6,3,3,3
Statistical_Area_1998,339900,Fairview,6,6,6,9,9
Statistical_Area_1999,340000,Gleniti South,36,48,39,42,69
Statistical_Area_2000,340100,Glenwood,30,24,9,18,24
Statistical_Area_2001,340200,Marchwiel West,27,27,27,30,36
Statistical_Area_2002,340300,Marchwiel East,12,12,15,15,15
Statistical_Area_2003,340400,Highfield North,60,48,75,57,48
Statistical_Area_2004,340500,Highfield South,6,9,3,9,3
Statistical_Area_2005,340600,Waimataitai-Maori Hill,15,21,21,12,21
Statistical_Area_2006,340700,Fraser Park,33,30,27,24,30
Statistical_Area_2007,340800,Seaview,18,21,15,24,24
Statistical_Area_2008,340900,Inlet Port Timaru,0,0,0,0,0
Statistical_Area_2009,341000,Watlington,39,45,33,24,24
Statistical_Area_2010,341100,Timaru Central,3,3,3,3,3
Statistical_Area_2011,341200,Timaru East,6,6,6,0,3
Statistical_Area_2012,341300,Parkside,18,30,24,18,24
Statistical_Area_2013,341400,Kensington (Timaru Distri,15,24,12,12,15
Statistical_Area_2014,341500,Mackenzie Lakes,0,3,3,0,3
Statistical_Area_2015,341600,Inland water Lake Pukaki,0,0,0,0,0
Statistical_Area_2016,341700,Inland water Lake Tekapo,0,0,0,0,0
Statistical_Area_2017,341800,Twizel,6,12,6,6,9
Statistical_Area_2018,341900,Opua (Mackenzie District),6,6,3,0,6
Statistical_Area_2019,342000,Fairlie,12,15,6,15,12
Statistical_Area_2020,342100,Hakataramea,0,3,0,3,3
Statistical_Area_2021,342200,Maungati,0,0,3,0,0
Statistical_Area_2022,342300,Lyalldale,0,3,3,3,0
Statistical_Area_2023,342400,Makikihi-Willowbridge,0,6,6,3,6
Statistical_Area_2024,342500,Waimate North,6,3,6,3,9
Statistical_Area_2025,342600,Morven-Glenavy-Ikawai,3,6,0,6,3
Statistical_Area_2026,342700,Waimate West,21,12,9,12,18
Statistical_Area_2027,342800,Waimate East,33,42,57,36,36
Statistical_Area_2028,342900,Oceanic Chatham Islands,0,0,0,0,0
Statistical_Area_2029,343000,Chatham Islands,3,9,6,3,3
Statistical_Area_2030,343100,Aviemore,3,6,6,0,6
Statistical_Area_2031,343200,Inland water Lake Ohau,0,0,0,0,0
Statistical_Area_2032,343300,Danseys Pass,9,6,6,6,6
Statistical_Area_2033,343400,Ngapara,6,6,3,3,6
Statistical_Area_2034,343500,Lower Waitaki,3,6,3,9,3
Statistical_Area_2035,343600,Waihemo,6,15,9,15,6
Statistical_Area_2036,343700,Maheno,18,15,9,15,12
Statistical_Area_2037,343800,Weston,9,3,6,12,9
Statistical_Area_2038,343900,Oamaru North Milner Park,57,60,63,30,51
Statistical_Area_2039,344000,Oamaru North Orana Park,21,27,27,15,24
Statistical_Area_2040,344100,Oamaru Gardens,12,12,12,9,9
Statistical_Area_2041,344200,Glen Warren,39,30,27,33,36
Statistical_Area_2042,344300,Holmes Hill,15,24,18,6,12
Statistical_Area_2043,344400,Oamaru Central,12,9,15,12,18
Statistical_Area_2044,344500,South Hill,27,24,21,12,24
Statistical_Area_2045,344600,Inlet Port Oamaru,0,0,0,0,0
Statistical_Area_2046,344700,Palmerston,9,18,9,12,12
Statistical_Area_2047,344800,Lindis-Nevis Valleys,15,15,9,21,33
Statistical_Area_2048,344900,Cromwell West,9,12,9,9,18
Statistical_Area_2049,345000,Cromwell East,3,12,12,6,12
Statistical_Area_2050,345100,Manuherikia-Ida Valleys,3,3,3,9,3
Statistical_Area_2051,345200,Earnscleugh,0,3,3,3,0
Statistical_Area_2052,345300,Dunstan-Galloway,6,6,6,0,6
Statistical_Area_2053,345400,Clyde,12,9,3,6,12
Statistical_Area_2054,345500,Alexandra North,39,33,45,24,33
Statistical_Area_2055,345600,Alexandra South,24,27,21,27,18
Statistical_Area_2056,345700,Maniototo,24,18,9,18,30
Statistical_Area_2057,345800,Teviot Valley,18,15,15,12,6
Statistical_Area_2058,345900,Outer Wanaka,3,0,3,3,0
Statistical_Area_2059,346000,Glenorchy,0,3,0,0,0
Statistical_Area_2060,346100,Inland water Lake Wanaka,0,0,0,0,0
Statistical_Area_2061,346200,Outer Wakatipu,0,3,0,0,0
Statistical_Area_2062,346300,Inland water Lake Hawea,0,0,0,0,0
Statistical_Area_2063,346400,Cardrona,6,0,3,0,0
Statistical_Area_2064,346500,Inland water Lake Wakatip,0,0,0,0,0
Statistical_Area_2065,346600,Wanaka Waterfront,3,12,6,3,9
Statistical_Area_2066,346700,Wanaka North,3,6,6,9,0
Statistical_Area_2067,346800,Wanaka West,15,12,18,21,18
Statistical_Area_2068,346900,Albert Town,3,6,6,3,3
Statistical_Area_2069,347000,Wanaka Central,12,3,12,6,15
Statistical_Area_2070,347100,Lake Hawea,3,3,0,0,3
Statistical_Area_2071,347200,Upper Clutha Valley,3,3,0,3,3
Statistical_Area_2072,347300,Kingston,3,3,0,0,3
Statistical_Area_2073,347400,Arthurs Point,3,0,0,0,3
Statistical_Area_2074,347500,Wakatipu Basin,3,6,3,3,0
Statistical_Area_2075,347600,Queenstown Hill,0,0,0,0,0
Statistical_Area_2076,347700,Warren Park,3,6,3,0,6
Statistical_Area_2077,347800,Sunshine Bay-Fernhill,3,3,3,3,0
Statistical_Area_2078,347900,Arrowtown,9,18,9,6,6
Statistical_Area_2079,348000,Quail Rise,0,3,3,0,0
Statistical_Area_2080,348100,Queenstown Central,0,0,0,3,3
Statistical_Area_2081,348200,Queenstown East,3,3,6,0,6
Statistical_Area_2082,348300,Frankton Arm,3,0,3,3,3
Statistical_Area_2083,348400,Frankton,18,18,21,21,9
Statistical_Area_2084,348500,Lake Hayes,0,0,3,0,3
Statistical_Area_2085,348600,Kelvin Heights,3,3,6,6,3
Statistical_Area_2086,348700,Shotover Country,0,0,0,0,0
Statistical_Area_2087,348800,Lake Hayes Estate,0,3,0,0,0
Statistical_Area_2088,348900,Jacks Point,0,0,0,0,0
Statistical_Area_2089,349000,Strath Taieri,3,3,3,3,3
Statistical_Area_2090,349100,Bucklands Crossing,12,6,9,6,9
Statistical_Area_2091,349200,Waikouaiti,9,18,12,12,15
Statistical_Area_2092,349300,Momona,9,6,12,9,15
Statistical_Area_2093,349400,Taieri,3,9,6,6,3
Statistical_Area_2094,349500,Inlets other Dunedin City,0,0,0,0,0
Statistical_Area_2095,349600,Mount Cargill,9,6,3,6,9
Statistical_Area_2096,349700,Bush Road,21,15,27,12,24
Statistical_Area_2097,349800,Mosgiel East,45,51,48,42,48
Statistical_Area_2098,349900,Mosgiel Central,63,69,66,66,51
Statistical_Area_2099,350000,Seddon Park,36,27,45,30,39
Statistical_Area_2100,350100,Wingatui,9,0,6,9,0
Statistical_Area_2101,350200,Saddle Hill-Chain Hills,6,6,9,9,3
Statistical_Area_2102,350300,East Taieri,9,6,6,9,15
Statistical_Area_2103,350400,Halfway Bush,21,33,48,39,39
Statistical_Area_2104,350500,Helensburgh,6,9,6,3,0
Statistical_Area_2105,350600,Glenleith,6,9,6,6,3
Statistical_Area_2106,350700,Fairfield (Dunedin City),18,18,15,9,18
Statistical_Area_2107,350800,Inlet Otago Harbour,0,0,0,0,0
Statistical_Area_2108,350900,Brockville,33,30,24,27,27
Statistical_Area_2109,351000,Wakari,21,27,42,45,36
Statistical_Area_2110,351100,Abbotsford,15,6,12,12,15
Statistical_Area_2111,351200,Brighton,3,15,3,3,9
Statistical_Area_2112,351300,Pine Hill-Dalmore,9,15,9,3,6
Statistical_Area_2113,351400,Kaikorai-Bradford,6,12,12,18,12
Statistical_Area_2114,351500,Maori Hill,15,15,9,15,12
Statistical_Area_2115,351600,Roslyn (Dunedin City),51,69,75,63,72
Statistical_Area_2116,351700,North East Valley Chingfo,9,6,6,6,6
Statistical_Area_2117,351800,Roseneath-Sawyers Bay,3,6,9,9,9
Statistical_Area_2118,351900,Normanby,54,48,54,45,48
Statistical_Area_2119,352000,North East Valley Knox,3,9,9,9,9
Statistical_Area_2120,352100,Belleknowes,9,9,9,9,9
Statistical_Area_2121,352200,Gardens (Dunedin City),6,9,15,9,9
Statistical_Area_2122,352300,Kenmure,12,9,9,3,6
Statistical_Area_2123,352400,Campus West,0,0,0,0,0
Statistical_Area_2124,352500,Waldronville,0,3,12,6,9
Statistical_Area_2125,352600,Green Island,18,18,6,21,12
Statistical_Area_2126,352700,Port Chalmers,9,12,12,12,6
Statistical_Area_2127,352800,Royal Terrace,3,3,3,9,3
Statistical_Area_2128,352900,Arthur Street,3,0,6,6,3
Statistical_Area_2129,353000,Opoho,6,3,9,6,3
Statistical_Area_2130,353100,Campus North,0,3,0,0,0
Statistical_Area_2131,353200,Campus South,3,3,6,9,9
Statistical_Area_2132,353300,Mornington,9,18,6,15,9
Statistical_Area_2133,353400,Dunedin Central,3,6,3,3,3
Statistical_Area_2134,353500,Maryhill,9,12,9,12,9
Statistical_Area_2135,353600,Ravensbourne-St Leonards,15,12,3,12,6
Statistical_Area_2136,353700,Harbourside,0,3,0,0,0
Statistical_Area_2137,353800,Fernhill,18,18,18,15,18
Statistical_Area_2138,353900,Otago Peninsula,3,3,0,3,9
Statistical_Area_2139,354000,Concord,3,6,6,9,6
Statistical_Area_2140,354100,Calton Hill,6,3,3,6,9
Statistical_Area_2141,354200,Caversham,75,81,60,78,69
Statistical_Area_2142,354300,Hillside-Portsmouth Drive,0,0,0,0,0
Statistical_Area_2143,354400,Kew (Dunedin City),18,15,24,15,21
Statistical_Area_2144,354500,Corstorphine,9,12,9,9,12
Statistical_Area_2145,354600,Forbury,6,9,9,9,12
Statistical_Area_2146,354700,Bathgate Park,54,51,45,48,54
Statistical_Area_2147,354800,St Clair,21,24,15,6,9
Statistical_Area_2148,354900,Waverley,3,12,18,12,12
Statistical_Area_2149,355000,Macandrew Bay-Company Bay,0,9,3,9,6
Statistical_Area_2150,355100,Broad Bay-Portobello,6,12,0,6,3
Statistical_Area_2151,355200,St Kilda South,21,24,24,24,15
Statistical_Area_2152,355300,Musselburgh,12,6,9,6,9
Statistical_Area_2153,355400,Shiel Hill,6,3,3,9,9
Statistical_Area_2154,355500,St Kilda North,45,51,45,42,51
Statistical_Area_2155,355600,Andersons Bay,36,33,39,24,27
Statistical_Area_2156,355700,Tainui,9,6,9,6,9
Statistical_Area_2157,355800,West Otago,12,18,6,15,15
Statistical_Area_2158,355900,Tuapeka,3,15,6,9,6
Statistical_Area_2159,356000,Clinton,3,3,6,6,3
Statistical_Area_2160,356100,Clutha Valley,3,3,3,3,3
Statistical_Area_2161,356200,Bruce,9,6,3,9,6
Statistical_Area_2162,356300,Catlins,9,6,6,6,15
Statistical_Area_2163,356400,Milton,27,15,21,21,21
Statistical_Area_2164,356500,Balclutha South,45,27,39,33,27
Statistical_Area_2165,356600,Balclutha North,24,24,27,24,33
Statistical_Area_2166,356700,Benhar-Stirling,3,3,3,0,3
Statistical_Area_2167,356800,Kaitangata-Matau,6,6,3,6,6
Statistical_Area_2168,356900,Inlet Catlins,0,0,0,0,0
Statistical_Area_2169,357000,Fiordland,3,0,0,0,0
Statistical_Area_2170,357100,Inlets Fiordland,0,0,0,0,0
Statistical_Area_2171,357200,Inland water Lake Te Anau,0,0,0,0,0
Statistical_Area_2172,357300,Mararoa,0,3,6,0,0
Statistical_Area_2173,357400,Inland water Lake Manapou,0,0,0,0,0
Statistical_Area_2174,357500,Te Anau,9,9,6,6,9
Statistical_Area_2175,357600,Whitestone,0,0,3,3,0
Statistical_Area_2176,357700,Mossburn,3,3,6,0,3
Statistical_Area_2177,357800,Inland water Lake Hauroko,0,0,0,0,0
Statistical_Area_2178,357900,Longwood Forest,18,12,12,18,6
Statistical_Area_2179,358000,Ohai-Nightcaps,12,9,12,3,3
Statistical_Area_2180,358100,Riversdale-Piano Flat,6,6,6,3,3
Statistical_Area_2181,358200,Lumsden-Balfour,3,3,6,9,6
Statistical_Area_2182,358300,Oreti River,12,9,15,21,15
Statistical_Area_2183,358400,Otautau,12,6,3,12,21
Statistical_Area_2184,358500,Hedgehope,3,3,3,3,6
Statistical_Area_2185,358600,Winton,27,27,18,27,21
Statistical_Area_2186,358700,Waianiwa,3,6,6,3,3
Statistical_Area_2187,358800,Riverton,27,24,27,21,27
Statistical_Area_2188,358900,Wallacetown,3,6,6,6,6
Statistical_Area_2189,359000,Grove Bush,0,3,3,6,6
Statistical_Area_2190,359100,Edendale-Woodlands,9,6,9,12,12
Statistical_Area_2191,359200,Inlets other Southland Di,0,0,0,0,0
Statistical_Area_2192,359300,Stewart Island,3,3,3,0,0
Statistical_Area_2193,359400,Awarua Plains,0,9,0,3,3
Statistical_Area_2194,359500,Wyndham-Catlins,12,15,12,15,9
Statistical_Area_2195,359600,Waikaka,6,9,3,6,6
Statistical_Area_2196,359700,Waimumu-Kaiwera,0,6,6,6,3
Statistical_Area_2197,359800,Gore North,30,33,27,30,21
Statistical_Area_2198,359900,Gore West,30,24,30,30,27
Statistical_Area_2199,360000,East Gore,9,12,12,12,9
Statistical_Area_2200,360100,Gore Central,3,3,3,6,3
Statistical_Area_2201,360200,Gore Main,42,21,39,45,42
Statistical_Area_2202,360300,Gore South,3,6,3,3,3
Statistical_Area_2203,360400,Mataura,12,12,9,6,18
Statistical_Area_2204,360500,West Plains-Makarewa,9,21,6,15,9
Statistical_Area_2205,360600,Prestonville-Grasmere,57,66,51,51,78
Statistical_Area_2206,360700,Donovan Park,69,87,78,75,72
Statistical_Area_2207,360800,Myross Bush,3,6,6,3,9
Statistical_Area_2208,360900,Otatara,9,0,18,12,12
Statistical_Area_2209,361000,Invercargill Central,12,18,12,12,15
Statistical_Area_2210,361100,Gladstone (Invercargill C,12,15,15,12,9
Statistical_Area_2211,361200,Rosedale,9,12,6,12,12
Statistical_Area_2212,361300,Avenal,15,6,12,12,6
Statistical_Area_2213,361400,Hargest,9,12,15,9,9
Statistical_Area_2214,361500,Windsor,18,21,39,27,27
Statistical_Area_2215,361600,Richmond (Invercargill Ci,33,21,33,18,21
Statistical_Area_2216,361700,Glengarry,15,57,54,57,48
Statistical_Area_2217,361800,Inlet New River Estuary,0,0,0,0,0
Statistical_Area_2218,361900,Turnbull Thompson Park,3,12,12,12,9
Statistical_Area_2219,362000,Crinan,12,12,12,15,9
Statistical_Area_2220,362100,Georgetown,9,9,18,15,9
Statistical_Area_2221,362200,Kew (Invercargill City),15,15,18,15,15
Statistical_Area_2222,362300,Kennington-Tisbury,3,6,6,6,9
Statistical_Area_2223,362400,Newfield,57,48,69,48,60
Statistical_Area_2224,362500,Strathern,18,15,18,24,12
Statistical_Area_2225,362600,Elizabeth Park,36,24,30,24,42
Statistical_Area_2226,362700,Aurora,3,3,6,9,9
Statistical_Area_2227,362800,Moulson,3,6,6,6,9
Statistical_Area_2228,362900,Kingswell,15,24,18,15,12
Statistical_Area_2229,363000,Clifton,6,9,12,12,9
Statistical_Area_2230,363100,Woodend-Greenhills,6,3,3,3,3
Statistical_Area_2231,363200,Inlet Bluff Harbour,0,0,0,0,0
Statistical_Area_2232,363300,Bluff,18,9,18,18,15
Statistical_Area_2233,363400,Oceanic West Coast Region,0,0,0,0,0
Statistical_Area_2234,363500,Oceanic Nelson Region,0,0,0,0,0
Statistical_Area_2235,363600,Oceanic Marlborough Regio,0,0,0,0,0
Statistical_Area_2236,363700,Oceanic Southland Region,0,0,0,0,0
Statistical_Area_2237,363800,Oceanic Canterbury Region,0,0,0,0,0
Statistical_Area_2238,363900,Oceanic Otago Region,0,0,0,0,0
Statistical_Area_2239,400001,New Zealand Economic Zone,0,0,0,0,0
Statistical_Area_2240,400002,Oceanic Kermadec Islands,0,0,0,0,0
Statistical_Area_2241,400003,Kermadec Islands,0,0,0,0,0
Statistical_Area_2242,400004,Oceanic Oil Rig Taranaki,0,0,0,0,0
Statistical_Area_2243,400005,Oceanic Campbell Island,0,0,0,0,0
Statistical_Area_2244,400006,Campbell Island,0,0,0,0,0
Statistical_Area_2245,400007,Oceanic Oil Rig Southland,0,0,0,0,0
Statistical_Area_2246,400008,Oceanic Auckland Islands,0,0,0,0,0
Statistical_Area_2247,400009,Auckland Islands,0,0,0,0,0
Statistical_Area_2248,400010,Oceanic Bounty Islands,0,0,0,0,0
Statistical_Area_2249,400011,Bounty Islands,0,0,0,0,0
Statistical_Area_2250,400012,Oceanic Snares Islands,0,0,0,0,0
Statistical_Area_2251,400013,Snares Islands,0,0,0,0,0
Statistical_Area_2252,400014,Oceanic Antipodes Islands,0,0,0,0,0
Statistical_Area_2253,400015,Antipodes Islands,0,0,0,0,0
Statistical_Area_2254,400016,Ross Dependency,0,0,0,0,0
Statistical_Area_2255,999998,Not Specified,21,33,15,21,15
Area_Unit_13,500100,Awanui,3,0,6,3,0
Area_Unit_14,500202,Karikari Peninsula-Maungataniwha,30,33,39,48,39
Area_Unit_15,500203,Taipa Bay-Mangonui,18,15,18,6,21
Area_Unit_16,500204,Herekino,12,15,15,15,21
Area_Unit_17,500205,Ahipara,12,12,9,9,6
Area_Unit_18,500206,North Cape,9,3,9,3,0
Area_Unit_19,500207,Houhora,12,15,9,15,9
Area_Unit_20,500208,Motutangi-Kareponia,18,12,6,12,12
Area_Unit_21,500301,Kaitaia West,51,63,72,63,60
Area_Unit_22,500302,Kaitaia East,21,12,24,18,18
Area_Unit_23,500401,Kaeo,12,6,9,9,9
Area_Unit_24,500402,Mangapa-Matauri Bay,18,15,30,21,21
Area_Unit_25,500500,Kohukohu,3,3,0,0,3
Area_Unit_26,500600,Rawene,6,9,3,6,12
Area_Unit_27,500700,Omapere and Opononi,3,3,6,0,3
Area_Unit_28,500801,Hokianga North,15,15,18,30,24
Area_Unit_29,500802,Hokianga South,27,24,21,27,39
Area_Unit_30,500900,Kerikeri,63,51,72,75,102
Area_Unit_31,501000,Russell,9,3,6,9,9
Area_Unit_32,501100,Paihia,9,21,12,15,15
Area_Unit_33,501200,Haruru Falls,12,9,24,18,21
Area_Unit_34,501300,Opua East,0,3,3,3,3
Area_Unit_35,501400,Kawakawa,9,12,6,12,6
Area_Unit_36,501500,Moerewa,9,12,12,12,15
Area_Unit_37,501611,Waitangi-Te Tii,0,0,0,0,0
Area_Unit_38,501612,Opua West,3,0,3,0,0
Area_Unit_39,501613,Bay of Islands,0,0,0,0,0
Area_Unit_40,501614,Kapiro,15,21,15,15,18
Area_Unit_41,501615,Waitangi,6,6,3,3,9
Area_Unit_42,501620,Pokere-Waihaha,15,12,15,21,21
Area_Unit_43,501631,Okaihau,3,3,3,3,3
Area_Unit_44,501632,Ohaeawai,6,9,6,6,9
Area_Unit_45,501633,Waihou Valley-Hupara,15,18,15,24,21
Area_Unit_46,501634,Ngapuhi-Kaikou,15,21,21,30,21
Area_Unit_47,501700,Kaikohe,39,48,42,48,51
Area_Unit_48,501802,Opouteke-Tanekaha,24,21,24,21,21
Area_Unit_49,501805,Bream Head,0,0,0,0,0
Area_Unit_50,501806,Marsden Point-Ruakaka,27,24,27,21,30
Area_Unit_51,501807,Ngunguru,9,12,18,6,12
Area_Unit_52,501809,Wharekohe-Oakleigh,12,21,18,27,12
Area_Unit_53,501810,Maungatapere,6,9,12,9,6
Area_Unit_54,501811,Waiotira-Springfield,12,6,3,12,15
Area_Unit_55,501812,Waipu,0,0,0,0,0
Area_Unit_56,501813,Whangaruru Harbour,0,0,0,0,0
Area_Unit_57,501814,Punaruku-Kiripaka,18,24,24,21,18
Area_Unit_58,501815,Bream Bay,3,6,0,6,3
Area_Unit_59,501816,Waipu,39,21,39,39,42
Area_Unit_60,501817,Pataua-Whareora,3,3,3,6,6
Area_Unit_61,501818,Parua Bay,12,12,12,9,21
Area_Unit_62,501819,Bream Head,6,12,6,9,15
Area_Unit_63,502001,Springs Flat,21,27,33,24,15
Area_Unit_64,502002,Three Mile Bush,3,3,6,6,3
Area_Unit_65,502003,Te Hihi,6,6,9,9,12
Area_Unit_66,502004,Abbey Caves,6,3,0,6,3
Area_Unit_67,502005,Otaika-Portland,3,9,0,6,9
Area_Unit_68,502101,Kamo West,96,78,84,108,114
Area_Unit_69,502102,Kamo East,15,18,18,27,30
Area_Unit_70,502201,Tikipunga West,30,36,27,36,21
Area_Unit_71,502202,Tikipunga East,21,24,18,27,39
Area_Unit_72,502300,Whau Valley,39,36,33,60,54
Area_Unit_73,502400,Otangarei,33,39,39,45,42
Area_Unit_74,502500,Western Hills,0,0,0,3,0
Area_Unit_75,502600,Kensington,18,12,18,12,12
Area_Unit_76,502700,Mairtown,27,27,39,27,30
Area_Unit_77,502800,Regent,30,33,33,30,36
Area_Unit_78,502900,Woodhill,21,12,12,24,24
Area_Unit_79,503000,Vinetown,18,33,15,12,21
Area_Unit_80,503100,Whangarei Central,0,0,0,3,0
Area_Unit_81,503200,Riverside,6,3,6,6,3
Area_Unit_82,503300,Horahora,6,6,6,6,6
Area_Unit_83,503400,Maunu,30,36,21,33,24
Area_Unit_84,503500,Raumanga East,15,9,12,9,15
Area_Unit_85,503600,Morningside,12,12,15,12,12
Area_Unit_86,503700,Parahaki,9,6,9,6,6
Area_Unit_87,503800,Raumanga West,15,12,15,15,18
Area_Unit_88,503900,Port-Limeburners,0,0,0,0,0
Area_Unit_89,504000,Sherwood Rise,33,30,27,27,30
Area_Unit_90,504100,Onerahi,15,12,15,12,9
Area_Unit_91,504300,Hikurangi,9,12,9,9,9
Area_Unit_92,504400,Te Kopuru,3,6,6,6,6
Area_Unit_93,504501,Kaipara Coastal,21,18,21,24,30
Area_Unit_94,504502,Maungaru,9,6,9,12,6
Area_Unit_95,504600,Dargaville,48,81,72,72,72
Area_Unit_96,504700,Maungaturoto,12,6,6,12,9
Area_Unit_97,504800,Ruawai,3,0,9,9,3
Area_Unit_98,504900,Kaiwaka,6,6,6,3,0
Area_Unit_99,505010,Rehia-Oneriri,30,24,39,39,42
Area_Unit_100,505020,Mangawhai,0,0,0,0,0
Area_Unit_101,505021,Mangawhai,9,9,9,15,15
Area_Unit_102,505022,Mangawhai Heads,12,6,6,12,15
Area_Unit_103,505300,Wellsford,12,18,18,21,15
Area_Unit_104,505400,Leigh,0,3,6,3,3
Area_Unit_105,505500,Warkworth,42,57,60,48,69
Area_Unit_106,505600,Kumeu,0,0,0,0,0
Area_Unit_107,505601,Waimauku,3,3,6,3,9
Area_Unit_108,505602,Huapai,3,12,3,12,9
Area_Unit_109,505603,Riverhead Urban,3,3,9,3,3
Area_Unit_110,505604,Kumeu East,3,9,9,27,27
Area_Unit_111,505605,Kumeu West,9,6,6,9,9
Area_Unit_112,505700,Waipareira West,24,15,12,21,27
Area_Unit_113,505802,Red Beach,0,0,0,0,0
Area_Unit_114,505803,Waiwera,0,3,6,6,9
Area_Unit_115,505804,Hatfields Beach,0,3,6,3,3
Area_Unit_116,505805,Orewa,159,171,180,192,192
Area_Unit_117,505806,Silverdale Central,6,6,9,9,6
Area_Unit_118,505807,Red Beach West,66,87,78,66,63
Area_Unit_119,505808,Red Beach East,30,30,33,30,42
Area_Unit_120,505901,Stanmore Bay,0,0,0,0,0
Area_Unit_121,505902,Manly,27,39,33,39,48
Area_Unit_122,505903,Army Bay,0,0,0,0,0
Area_Unit_123,505904,Army Bay,15,18,18,21,15
Area_Unit_124,505905,Gulf Harbour,0,0,0,0,0
Area_Unit_125,505906,Vipond,24,18,15,15,21
Area_Unit_126,505907,Stanmore Bay West,6,9,9,9,6
Area_Unit_127,505908,Stanmore Bay East,12,18,24,21,18
Area_Unit_128,505909,Wade Heads,18,9,15,9,18
Area_Unit_129,505910,Gulf Harbour,9,12,6,12,15
Area_Unit_130,505911,Gulf Harbour Marina,0,0,0,0,0
Area_Unit_131,506000,Silverdale South,0,0,0,0,0
Area_Unit_132,506001,Weiti River,0,3,3,3,3
Area_Unit_133,506002,Stillwater,0,0,3,0,3
Area_Unit_134,506003,Silverdale South,3,6,3,3,0
Area_Unit_135,506200,Silverdale North,0,0,0,0,0
Area_Unit_136,506201,Silverdale North,6,6,3,6,3
Area_Unit_137,506202,Orewa West,0,3,0,0,0
Area_Unit_138,506300,Dairy Flat-Redvale,3,6,6,6,9
Area_Unit_139,506400,Paremoremo West,3,3,3,0,3
Area_Unit_140,506613,Tauhoa-Puhoi,24,15,12,12,12
Area_Unit_141,506614,Tahekeroa,9,18,12,12,18
Area_Unit_142,506615,Cape Rodney,0,0,0,0,0
Area_Unit_143,506616,Matheson Bay,0,0,0,0,0
Area_Unit_144,506620,Kawau,0,3,0,0,0
Area_Unit_145,506631,Snells Beach,21,24,24,24,30
Area_Unit_146,506632,Algies Bay-Mahurangi,0,0,0,0,0
Area_Unit_147,506633,Algies Bay,15,24,15,15,18
Area_Unit_148,506634,Mahurangi,0,3,0,0,3
Area_Unit_149,506641,Parakai,0,0,0,0,0
Area_Unit_150,506642,South Head,9,9,9,9,3
Area_Unit_151,506643,Kaukapakapa,0,0,0,0,0
Area_Unit_152,506644,Parakai Rural,0,0,3,3,3
Area_Unit_153,506645,Parakai Urban,27,21,27,27,15
Area_Unit_154,506646,Kaukapakapa Rural,9,6,12,6,15
Area_Unit_155,506647,Kaukapakapa,3,3,3,3,3
Area_Unit_156,506648,Helensville South,3,3,3,3,6
Area_Unit_157,506651,Muriwai Beach,0,0,0,0,0
Area_Unit_158,506652,Rewiti,6,6,9,6,9
Area_Unit_159,506653,Riverhead,12,12,9,21,6
Area_Unit_160,506654,Muriwai Beach,3,6,0,9,6
Area_Unit_161,506655,Muriwai Valley,3,0,0,3,3
Area_Unit_162,506656,Waitakere West,3,3,3,0,0
Area_Unit_163,506657,Point Wells,6,3,3,3,0
Area_Unit_164,506658,Omaha,0,0,3,3,3
Area_Unit_165,506659,Matakana,3,3,3,3,0
Area_Unit_166,506660,Cape Rodney,21,9,15,27,12
Area_Unit_167,506661,Cape Rodney South,15,15,21,12,12
Area_Unit_168,506800,Helensville,6,18,24,12,15
Area_Unit_169,506901,Awaruku,18,9,15,12,12
Area_Unit_170,506902,Glamorgan,12,9,3,9,6
Area_Unit_171,506903,Torbay,18,30,18,18,30
Area_Unit_172,507000,Waiake,15,33,21,27,18
Area_Unit_173,507101,Browns Bay,36,39,27,18,30
Area_Unit_174,507102,Oaktree,15,12,12,15,9
Area_Unit_175,507200,Rothesay Bay,15,9,15,12,9
Area_Unit_176,507300,Murrays Bay,12,18,18,18,21
Area_Unit_177,507400,Mairangi Bay,24,21,15,15,24
Area_Unit_178,507500,Campbells Bay,15,9,9,15,6
