geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_173,117200,Torbay,15,24,15,18,27
Statistical_Area_174,117300,Albany Central,3,0,3,3,3
Statistical_Area_175,117400,Albany West,63,66,48,66,60
Statistical_Area_176,117500,Glamorgan,12,9,6,9,6
Statistical_Area_177,117600,Oteha East,9,6,18,9,18
Statistical_Area_178,117700,Northcross,9,6,9,9,9
Statistical_Area_179,117800,Oteha West,0,0,0,0,3
Statistical_Area_180,117900,Waiake,12,30,18,27,18
Statistical_Area_181,118000,Waitakere,6,3,6,6,6
Statistical_Area_182,118100,Albany South,27,27,33,33,27
Statistical_Area_183,118200,Browns Bay South West,12,9,9,12,6
Statistical_Area_184,118300,Browns Bay Central,30,33,24,15,24
Statistical_Area_185,118400,Schnapper Rock,3,6,0,3,0
Statistical_Area_186,118500,Pinehill,12,9,12,12,12
Statistical_Area_187,118600,North Harbour,3,0,3,0,18
Statistical_Area_188,118700,Browns Bay South East,6,6,3,3,6
Statistical_Area_189,118800,Westgate Central,0,0,0,0,0
Statistical_Area_190,118900,Greenhithe West,9,9,9,9,9
Statistical_Area_191,119000,Rothesay Bay,9,3,9,9,6
Statistical_Area_192,119100,Greenhithe East,3,3,3,3,12
Statistical_Area_193,119200,Hobsonville,6,6,9,6,3
Statistical_Area_194,119300,Inlet Waitemata Harbour,0,0,0,0,0
Statistical_Area_195,119400,Greenhithe South,3,3,0,6,3
Statistical_Area_196,119500,Murrays Bay West,3,6,6,6,9
Statistical_Area_197,119600,Westgate South,18,33,24,30,18
Statistical_Area_198,119700,Windsor Park,18,15,24,15,15
Statistical_Area_199,119800,West Harbour West,6,9,15,9,6
Statistical_Area_200,119900,Unsworth Heights West,42,48,42,33,42
Statistical_Area_201,120000,Murrays Bay East,6,12,12,12,12
Statistical_Area_202,120100,Birdwood West,0,3,0,0,0
Statistical_Area_203,120200,Hobsonville Point,0,0,3,6,6
Statistical_Area_204,120300,West Harbour Clearwater C,30,27,24,24,27
Statistical_Area_205,120400,Unsworth Heights East,6,9,6,9,15
Statistical_Area_206,120500,Mairangi Bay North,12,9,3,12,9
Statistical_Area_207,120600,Massey Central,9,12,9,6,9
Statistical_Area_208,120700,West Harbour Luckens Poin,3,12,9,9,6
Statistical_Area_209,120800,Mairangi Bay South,12,12,12,6,15
Statistical_Area_210,120900,Massey Royal Road West,12,12,12,9,12
Statistical_Area_211,121000,Bayview East,9,9,12,6,9
Statistical_Area_212,121100,Swanson Rural,9,6,6,3,9
Statistical_Area_213,121200,Sunnynook South,6,9,3,12,6
Statistical_Area_214,121300,Sunnynook North,6,9,9,6,9
Statistical_Area_215,121400,Bayview West,9,12,6,9,12
Statistical_Area_216,121500,Totara Vale North,9,12,12,6,3
Statistical_Area_217,121600,Royal Heights North,21,15,15,24,15
Statistical_Area_218,121700,Massey West,3,0,6,6,6
Statistical_Area_219,121800,Beach Haven West,12,12,9,15,12
Statistical_Area_220,121900,Totara Vale South,9,12,9,9,18
Statistical_Area_221,122000,Swanson,9,9,9,3,9
Statistical_Area_222,122100,Bayview South,9,3,6,6,3
Statistical_Area_223,122200,Campbells Bay,15,6,12,18,6
Statistical_Area_224,122300,Royal Heights South,18,21,24,18,24
Statistical_Area_225,122400,Beach Haven East,15,12,21,12,15
Statistical_Area_226,122500,Massey East,12,15,18,15,9
Statistical_Area_227,122600,Forrest Hill North,3,9,9,6,6
Statistical_Area_228,122700,Glenfield North,9,12,9,12,12
Statistical_Area_229,122800,Birkdale North,33,36,51,48,42
Statistical_Area_230,122900,Massey South,21,12,12,15,15
Statistical_Area_231,123000,Ranui North,18,12,12,21,15
Statistical_Area_232,123100,Glenfield West,9,21,9,24,30
Statistical_Area_233,123200,Te Atatu Peninsula North,12,15,18,15,15
Statistical_Area_234,123300,Glenfield South West,9,6,9,3,6
Statistical_Area_235,123400,Forrest Hill West,27,24,33,24,30
Statistical_Area_236,123500,Wairau Valley,3,0,0,0,3
Statistical_Area_237,123600,Forrest Hill East,3,12,15,9,9
Statistical_Area_238,123700,Castor Bay,12,15,18,12,18
Statistical_Area_239,123800,Ranui Domain,12,18,21,21,18
Statistical_Area_240,123900,Beach Haven South,3,12,9,6,6
Statistical_Area_241,124000,Glenfield Central,18,15,21,18,21
Statistical_Area_242,124100,Piha,3,0,6,3,3
Statistical_Area_243,124200,Ranui South West,9,3,6,3,3
Statistical_Area_244,124300,Henderson Larnoch,12,24,21,15,18
Statistical_Area_245,124400,Birkdale South,12,24,27,24,21
Statistical_Area_246,124500,Te Atatu Peninsula Centra,15,18,12,15,21
Statistical_Area_247,124600,Glenfield East,6,6,3,0,9
Statistical_Area_248,124700,Henderson Valley,0,6,3,0,0
Statistical_Area_249,124800,Te Atatu Peninsula West,15,21,15,18,21
Statistical_Area_250,124900,Henderson Lincoln West,18,9,12,12,21
Statistical_Area_251,125000,Ranui South East,12,9,9,9,9
Statistical_Area_252,125100,Henderson Lincoln East,0,3,0,3,3
Statistical_Area_253,125200,Birkenhead West,12,15,15,12,36
Statistical_Area_254,125300,Te Atatu Peninsula East,30,39,27,33,39
Statistical_Area_255,125400,Milford West,21,27,15,9,18
Statistical_Area_256,125500,Westlake,51,63,78,66,81
Statistical_Area_257,125600,Hillcrest North (Auckland,15,18,15,18,12
Statistical_Area_258,125700,Henderson Lincoln South,9,12,9,12,18
Statistical_Area_259,125800,Hillcrest West (Auckland),12,15,9,9,9
Statistical_Area_260,125900,Milford Central,15,6,15,9,12
Statistical_Area_261,126000,Summerland South,12,9,9,15,9
Statistical_Area_262,126100,Summerland North,6,6,12,6,9
Statistical_Area_263,126200,Hillcrest East (Auckland),15,12,9,12,6
Statistical_Area_264,126300,Chatswood,9,12,18,12,15
Statistical_Area_265,126400,Te Atatu South-Edmonton,15,21,18,12,9
Statistical_Area_266,126500,Birkenhead North,36,24,27,27,27
Statistical_Area_267,126600,Takapuna West,27,42,36,33,36
Statistical_Area_268,126700,Henderson North,27,30,27,24,24
Statistical_Area_269,126800,Takapuna Central,9,6,15,18,18
Statistical_Area_270,126900,Western Heights (Auckland,9,15,12,9,15
Statistical_Area_271,127000,Te Atatu South-Central,15,18,15,15,24
Statistical_Area_272,127100,Northcote Central (Auckla,21,27,27,18,18
Statistical_Area_273,127200,Akoranga,33,30,39,39,48
Statistical_Area_274,127300,Northcote South (Auckland,12,6,9,6,9
Statistical_Area_275,127400,Birkenhead South,9,6,15,3,6
Statistical_Area_276,127500,Henderson Central,18,15,24,51,27
Statistical_Area_277,127600,Waiatarua,12,0,6,9,6
Statistical_Area_278,127700,Te Atatu South-McLeod Nor,12,15,9,12,9
Statistical_Area_279,127800,Henderson Valley Park,6,3,9,6,9
